Day,Hour,Month,Precip In,RH,Station,Temp F,Wind Dir,Wind Spd MPH,Year
20,15,2,0,48.85,MSP,17.96,0,4.6,2013
23,15,2,0,71.91,MSP,28.94,200,6.9,2013
24,15,2,0,58.08,MSP,33.08,190,5.75,2013
20,16,2,0,51.36,MSP,17.96,360,5.75,2013
23,16,2,0,77.5,MSP,28.04,210,8.05,2013
24,16,2,0,58.08,MSP,33.08,0,4.6,2013
14,17,2,0,39.96,MSP,26.06,330,14.95,2013
23,17,2,0,75.94,MSP,26.78,230,7.48,2013
24,17,2,0,58.37,MSP,32,140,6.9,2013
14,18,2,0,43.4,MSP,24.08,320,11.5,2013
23,18,2,0,80.25,MSP,24.89,240,7.47,2013
14,19,2,0,45.41,MSP,23,310,11.5,2013
23,22,2,0,80.71,MSP,23,230,3.45,2013
24,22,2,0,78.31,MSP,23.54,230,2.3,2013
15,0,3,0,75,MSP,32,0,0,2013
3,1,3,0,47.7,MSP,23,0,0,2013
27,1,3,0,71.91,MSP,28.94,0,0,2013
26,2,3,0,71.48,MSP,30.02,290,8.05,2013
27,2,3,0,74.61,MSP,28.04,230,3.45,2013
31,2,3,0,81.72,MSP,35.96,260,5.75,2013
3,3,3,0,61.85,MSP,19.94,120,4.6,2013
27,3,3,0,74.61,MSP,28.04,0,0,2013
29,3,3,0,69.17,MSP,33.08,100,4.6,2013
27,4,3,0,78,MSP,26.96,0,0,2013
3,5,3,0,64.28,MSP,19.04,70,6.9,2013
29,7,3,0,71.82,MSP,33.08,110,4.6,2013
3,8,3,0,67.58,MSP,19.94,120,9.2,2013
3,9,3,0,65.18,MSP,21.92,130,6.9,2013
29,9,3,0,66.97,MSP,35.96,130,5.75,2013
23,10,3,0,60.1,MSP,28.04,310,4.6,2013
7,11,3,0,68.2,MSP,24.98,110,8.05,2013
16,11,3,0.01,69.54,MSP,22.46,320,9.2,2013
26,11,3,0,63.51,MSP,32,0,0,2013
7,12,3,0,62.83,MSP,26.96,140,9.2,2013
23,12,3,0,45.26,MSP,35.06,310,3.45,2013
26,12,3,0,58.66,MSP,33.98,0,0,2013
7,13,3,0,60.1,MSP,28.04,160,9.2,2013
23,13,3,0,40.24,MSP,37.04,0,0,2013
26,13,3,0,50.14,MSP,37.94,250,6.9,2013
30,13,3,0,76.44,MSP,50,320,7.48,2013
7,14,3,0,58.08,MSP,30.02,140,12.65,2013
23,14,3,0,37.05,MSP,37.94,0,0,2013
26,15,3,0,47.89,MSP,37.94,250,8.05,2013
7,16,3,0,58.21,MSP,30.92,130,9.2,2013
7,17,3,0,60.38,MSP,30.02,140,12.65,2013
19,17,3,0,45.22,MSP,21.92,310,16.1,2013
26,17,3,0,47.89,MSP,37.94,270,10.35,2013
13,18,3,0,41.13,MSP,30.92,230,10.35,2013
26,18,3,0,50.14,MSP,37.94,300,6.9,2013
22,19,3,0,45.43,MSP,33.98,210,6.9,2013
3,20,3,0,44.58,MSP,28.94,100,10.35,2013
7,20,3,0,60.1,MSP,28.04,0,5.75,2013
22,20,3,0,51.15,MSP,32,220,6.9,2013
2,21,3,0,48.03,MSP,24.98,0,0,2013
7,21,3,0,65.84,MSP,26.96,110,5.75,2013
14,21,3,0,66.97,MSP,35.96,220,6.9,2013
14,22,3,0,69.28,MSP,33.98,0,4.6,2013
25,23,3,0,63.36,MSP,30.92,290,5.75,2013
28,0,4,0,59.84,MSP,60.98,170,13.8,2013
6,1,4,0,81.8,MSP,37.04,110,17.25,2013
14,1,4,0,71.82,MSP,33.08,100,9.2,2013
28,1,4,0,59.72,MSP,60.08,180,12.65,2013
30,1,4,0,72.62,MSP,64.94,130,11.5,2013
6,2,4,0,78.96,MSP,37.94,120,17.25,2013
6,3,4,0,72.87,MSP,37.94,130,16.1,2013
6,4,4,0,69.86,MSP,39.02,130,19.55,2013
15,4,4,0,70.95,MSP,37.22,200,13.22,2013
7,5,4,0,84.69,MSP,35.06,300,5.75,2013
23,5,4,0,88.32,MSP,32,330,14.95,2013
30,5,4,0,75.33,MSP,62.96,140,6.9,2013
4,6,4,0,59.36,MSP,42.08,230,9.2,2013
17,6,4,0,64.17,MSP,37.04,50,10.35,2013
4,7,4,0,64.68,MSP,41,250,8.05,2013
25,9,4,0,71.16,MSP,36.68,260,8.05,2013
25,10,4,0,68.44,MSP,37.67,250,8.05,2013
28,10,4,0,53.73,MSP,64.04,170,14.95,2013
16,11,4,0,66.6,MSP,37.04,270,10.35,2013
25,11,4,0,59.65,MSP,41,260,10.35,2013
16,12,4,0,61.63,MSP,39.02,280,8.05,2013
20,16,4,0,27.27,MSP,39.02,110,5.75,2013
3,17,4,0,43.34,MSP,46.04,180,14.95,2013
20,18,4,0,35.95,MSP,39.92,200,5.75,2013
20,19,4,0,35.51,MSP,39.02,170,4.6,2013
20,20,4,0,38.38,MSP,37.04,140,4.6,2013
5,21,4,0,89.16,MSP,35.96,100,13.8,2013
24,21,4,0,85.49,MSP,37.94,250,5.75,2013
30,22,4,0,34.91,MSP,60.98,340,9.2,2013
13,23,4,0,69.28,MSP,33.98,140,5.75,2013
7,0,5,0,48.47,MSP,66.02,0,0,2013
10,0,5,0,55.56,MSP,44.96,360,10.35,2013
31,0,5,0,84.38,MSP,66.92,160,11.5,2013
7,1,5,0,53.73,MSP,64.04,200,3.45,2013
8,2,5,0,57.87,MSP,64.04,0,0,2013
10,2,5,0,59.93,MSP,42.98,360,11.5,2013
11,2,5,0,58.32,MSP,52.79,350,27.6,2013
8,3,5,0,62.04,MSP,62.06,0,0,2013
10,3,5,0,57.35,MSP,42.98,20,10.35,2013
19,3,5,0,84.38,MSP,66.92,140,5.75,2013
7,4,5,0,66.75,MSP,57.92,0,0,2013
8,4,5,0,67.11,MSP,60.98,0,0,2013
8,5,5,0,72.01,MSP,59,0,0,2013
30,5,5,0,93.33,MSP,66.02,130,10.35,2013
7,8,5,0,80.4,MSP,55.94,190,3.45,2013
16,13,5,0,24.89,MSP,80.06,60,11.5,2013
19,13,5,0,60.23,MSP,78.98,170,18.4,2013
11,15,5,0,30.39,MSP,51.08,340,21.85,2013
16,15,5,0,22.38,MSP,82.04,30,8.05,2013
11,16,5,0,29.35,MSP,53.06,340,24.15,2013
18,16,5,0,54.23,MSP,80.06,180,16.1,2013
24,16,5,0,37.15,MSP,66.92,170,9.2,2013
11,17,5,0,29.35,MSP,53.06,310,24.15,2013
18,17,5,0,52.66,MSP,80.96,170,11.5,2013
11,18,5,0,30.39,MSP,51.08,330,17.25,2013
10,19,5,0,21.01,MSP,66.02,290,6.9,2013
13,19,5,0,36.28,MSP,71.06,150,13.8,2013
10,20,5,0,21.68,MSP,64.04,290,4.6,2013
13,20,5,0,37.81,MSP,71.06,150,13.8,2013
13,21,5,0,41.86,MSP,69.08,140,12.65,2013
9,23,5,0,51.03,MSP,46.04,20,16.1,2013
27,0,6,0,59.74,MSP,78.08,0,0,2013
29,0,6,0,87.1,MSP,66.92,340,12.65,2013
3,2,6,0,77.06,MSP,53.96,0,0,2013
20,2,6,0,66.2,MSP,71.96,150,6.9,2013
4,3,6,0,56.61,MSP,61.79,90,6.9,2013
4,4,6,0,57.33,MSP,60.08,80,5.75,2013
12,4,6,0,93.33,MSP,66.02,110,6.9,2013
17,4,6,0,74.94,MSP,64.04,280,3.45,2013
1,5,6,0,77.59,MSP,60.08,210,3.45,2013
4,5,6,0,55.39,MSP,60.08,120,8.05,2013
10,5,6,0,100,MSP,59.78,0,1.15,2013
12,5,6,0,87.1,MSP,66.92,160,6.9,2013
15,5,6,0,87.1,MSP,66.92,160,5.75,2013
22,5,6,0.11,96.93,MSP,66.92,0,0,2013
26,5,6,0,93.54,MSP,73.94,140,4.6,2013
27,5,6,0,75.75,MSP,73.04,230,3.45,2013
10,6,6,0,94.4,MSP,60.62,0,0,2013
18,7,6,0,74.86,MSP,57.92,20,4.6,2013
25,7,6,0,90.46,MSP,66.92,120,6.9,2013
30,7,6,0,77.59,MSP,60.08,20,3.45,2013
1,8,6,0,77.66,MSP,60.98,230,4.6,2013
15,8,6,0,83.98,MSP,69.08,180,4.6,2013
1,9,6,0,70.28,MSP,64.94,290,4.6,2013
15,9,6,0,78.57,MSP,71.96,0,0,2013
28,9,6,0,61.28,MSP,71.96,330,14.95,2013
30,9,6,0,65.07,MSP,66.02,360,6.9,2013
24,10,6,0,66.48,MSP,78.08,0,0,2013
19,11,6,0,59.58,MSP,73.94,160,6.9,2013
24,11,6,0,64.26,MSP,80.06,120,5.75,2013
